feature,importance
log1p_cat_to_ord_sum_365d,348.5265205383301
cat_to_ord_sum_90d,346.60833778381345
gmv_cat_sum_14d,338.90308208465575
log1p_gmv_per_purchase_day_365d,336.83038063049315
search_to_ord_sum_7d,323.2097312927246
log1p_cat_to_cart_sum_7d,318.9994010925293
log1p_orders_ratio_30_90,288.908868598938
log1p_n_purchase_days_7d,242.76604118347169
log1p_cat_to_ord_sum_180d,241.81885948181153
log1p_orders_recent_share,230.3662197113037
log1p_to_ord_sum_7d,216.75958194732667
log1p_purchase_days_ratio_7_30,213.9882411956787
n_purchase_days_7d,210.21147804260255
log1p_purchase_days_ratio_14_30,208.59709854125975
cat_to_ord_sum_60d,194.0107406616211
log1p_gmv_cat_sum_7d,145.70853996276855
log1p_gmv_cat_sum_14d,140.7505802154541
log1p_cat_to_ord_sum_90d,136.67559871673583
log1p_search_to_ord_sum_7d,136.26167411804198
cat_to_ord_sum_30d,109.05041961669922
gmv_cat_sum_7d,83.39253997802734
log1p_cat_to_ord_sum_60d,74.84135932922364
cat_to_ord_sum_14d,35.5423397064209
cat_to_ord_sum_7d,26.29174041748047
log1p_cat_to_ord_sum_30d,23.64563980102539
log1p_cat_to_ord_sum_14d,7.110240173339844
log1p_cat_to_ord_sum_7d,0.0
